Driver_Key,Driver_ID,Name,Age,City,Experience_Years,Average_Rating,Active_Status
1,101,William Black,56,San Francisco,15,4.8,Active
2,102,Holly Sherman,39,Los Angeles,19,4.3,Active
3,103,Crystal Cook,57,Chicago,9,4.5,Inactive
4,104,Tiffany Wright,58,San Francisco,19,4.4,Inactive
5,105,Jeffrey King,49,Los Angeles,4,4.4,Inactive
6,106,Frank Mitchell,27,Los Angeles,11,4.3,Inactive
7,107,James Jones,41,Los Angeles,5,5,Inactive
8,108,Ronald Holden,35,Los Angeles,7,4.9,Active
9,109,Maxwell Gallagher,35,New York,15,4.5,Inactive
10,110,Brittany Cruz,59,New York,17,4.9,Inactive
11,111,Barbara Bryant,52,Chicago,2,4.8,Inactive
12,112,Steven Williams,59,New York,10,4.5,Inactive
13,113,Brian Edwards II,35,Los Angeles,15,4.4,Inactive
14,114,Sara Alvarado,46,Miami,17,4.1,Active
15,115,Patrick Hall,37,Chicago,4,4.4,Active
16,116,Mark Hernandez,38,Miami,18,4.9,Inactive
17,117,Lisa Brown,36,San Francisco,20,4.8,Active
18,118,Jimmy Davis,51,Miami,2,4.7,Active
19,119,April Rodriguez,44,Chicago,4,5,Active
20,120,Andrew Heath,26,Los Angeles,3,4.2,Active
21,121,David Moore,32,San Francisco,9,4.9,Inactive
22,122,Randall Cook,32,Chicago,15,5,Inactive
23,123,David Newton,57,New York,6,5,Active
24,124,Eric Gray,25,Chicago,8,4.5,Active
25,125,Gabriel Jackson,55,New York,5,4.8,Inactive
26,126,Linda Gray,45,Miami,2,4.9,Active
27,127,Katherine Ellison,42,Los Angeles,11,4.6,Inactive
28,128,Chad Johnson,29,Chicago,7,4.4,Active
29,129,Mary Andrews,46,New York,3,4.4,Active
30,130,David Craig,50,New York,18,4.7,Inactive
31,131,Lance Fox,58,Miami,14,4.9,Active
32,132,Kaitlin Walton,27,Los Angeles,6,4.8,Active
33,133,Adrienne Thompson,40,Miami,7,4.2,Inactive
34,134,Ashley Foster,59,Los Angeles,12,4.3,Inactive
35,135,Michael Jackson,56,Los Angeles,19,4.8,Inactive
36,136,Erik Simpson,29,Chicago,16,4,Inactive
37,137,Steven Alexander,47,Los Angeles,20,4.1,Active
38,138,Christine Adkins,60,New York,16,4.8,Active
39,139,John Deleon,47,San Francisco,11,4.3,Inactive
40,140,David Walker,59,Chicago,2,4.6,Inactive
41,141,Luis Compton,49,New York,15,4.6,Active
42,142,Samuel Warren,58,Chicago,20,4.9,Active
43,143,Martha Nunez,36,New York,4,4.1,Active
44,144,Valerie Henry MD,47,San Francisco,12,4.8,Inactive
45,145,Adam Noble,52,San Francisco,11,4.8,Active
46,146,Lawrence Santiago,43,Chicago,17,4.1,Inactive
47,147,Raymond Hill,38,Chicago,16,4.3,Inactive
48,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
49,149,Catherine Washington,54,Los Angeles,10,4.1,Active
50,150,Jordan Lee,60,New York,13,4.5,Inactive
51,151,Kristen Smith,55,Chicago,14,4.7,Inactive
52,152,Sharon Jones,36,San Francisco,9,4.2,Active
53,153,Omar Dunn,40,San Francisco,2,4.6,Active
54,154,Heather Meyer,58,San Francisco,11,4,Active
55,155,Gregory Pruitt,34,Los Angeles,3,4,Active
56,156,Peggy Scott PhD,37,Miami,12,4.3,Inactive
57,157,Manuel Smith,31,Los Angeles,16,4.2,Inactive
58,158,Holly Li,47,Chicago,14,4.1,Inactive
59,159,Tina Mcdonald,26,New York,11,4.4,Inactive
60,160,Shelby Baldwin,56,Los Angeles,9,4.9,Inactive
61,161,Thomas Watson,54,Los Angeles,9,4.4,Active
62,162,Mrs. Shannon Ward,58,New York,18,5,Active
63,163,Laura Romero,32,Chicago,19,4,Active
64,164,Joshua Williams,33,San Francisco,9,4.5,Inactive
65,165,Leonard Willis,29,Los Angeles,3,4.4,Active
66,166,Alexa Thomas,56,New York,14,4.6,Inactive
